name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split_family,split,oracle_recovery,prob_threshold
always_residual,strict_output_proxy,baseline,201,33.13855394552408,0.9854454421878454,0.043142779773561415,0.2787344257358398,201,0,0.5422885572139303,1.0,0.5422885572139303,40,32,degradation_combo_group5,3,0.07393473174867025,
two_way_oracle,strict_output_proxy,oracle,201,33.678936374447,0.9860535447870321,0.5835252086964846,0.819116854658763,109,92,1.0,1.0,1.0,0,0,degradation_combo_group5,3,1.0,
decision_stump,strict_output_proxy,stump,201,33.12084955771237,0.9854537494740083,0.02543839196184698,0.2610300379241253,99,102,0.5353535353535354,0.48623853211009177,0.4925373134328358,23,12,degradation_combo_group5,3,0.043594332485948406,
ridge_logistic,strict_output_proxy,logistic,201,33.078696639989325,0.9855167655209404,-0.01671452576119407,0.21887712020108427,146,55,0.5205479452054794,0.6972477064220184,0.48756218905472637,28,26,degradation_combo_group5,3,-0.0286440508689111,0.47876800714780554
always_lfv1,strict_output_proxy,baseline,197,31.852635230025072,0.9831147953338429,0.0,0.3097526859772236,0,197,,0.0,0.5025380710659898,0,0,degradation_combo_group5,4,0.0,
always_residual,strict_output_proxy,baseline,197,31.69934312241206,0.9828515863660628,-0.1532921076130105,0.1564605783642131,197,0,0.49746192893401014,1.0,0.49746192893401014,46,34,degradation_combo_group5,4,-0.32247758966341294,
two_way_oracle,strict_output_proxy,oracle,197,32.32799262702438,0.9838007044066027,0.4753573969993066,0.7851100829765304,98,99,1.0,1.0,1.0,0,0,degradation_combo_group5,4,1.0,
decision_stump,strict_output_proxy,stump,197,31.72829170576548,0.9827677534921521,-0.12434352425959465,0.18540916171762892,106,91,0.4811320754716981,0.5204081632653061,0.48223350253807107,29,14,degradation_combo_group5,4,-0.2615790246339135,
ridge_logistic,strict_output_proxy,logistic,197,31.734377354341426,0.9827271624264984,-0.11825787568364855,0.191494810293575,73,124,0.5068493150684932,0.37755102040816324,0.5076142131979695,19,12,degradation_combo_group5,4,-0.24877676550349556,0.5333908785848531
always_lfv1,agreement_proxy,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,random_stratified,0,0.0,
always_residual,agreement_proxy,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,random_stratified,0,-0.05824763580979427,
two_way_oracle,agreement_proxy,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,random_stratified,0,1.0,
decision_stump,agreement_proxy,stump,300,32.49026145913793,0.9851024681329728,0.06684730595428864,0.2153403508906544,142,158,0.5704225352112676,0.5294117647058824,0.5566666666666666,30,19,random_stratified,0,0.10989590972814273,
ridge_logistic,agreement_proxy,logistic,300,32.56932621483788,0.9849990113576254,0.14591206165423862,0.29440510659060437,174,126,0.5977011494252874,0.6797385620915033,0.6033333333333334,34,25,random_stratified,0,0.2398771128752221,0.4960268909038385
always_lfv1,agreement_proxy,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,random_stratified,1,0.0,
always_residual,agreement_proxy,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,random_stratified,1,-0.0016499442478817644,
two_way_oracle,agreement_proxy,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,random_stratified,1,1.0,
decision_stump,agreement_proxy,stump,300,32.61592069887708,0.9838596113522847,0.0682365199074016,0.25320412293644723,188,112,0.5159574468085106,0.6339869281045751,0.51,40,28,random_stratified,1,0.10713982866891908,
ridge_logistic,agreement_proxy,logistic,300,32.65047511875601,0.9839251476526261,0.10279093978633923,0.2877585428153849,176,124,0.5681818181818182,0.6535947712418301,0.57,29,26,random_stratified,1,0.16139456836852822,0.49279454235509174
always_lfv1,agreement_proxy,baseline,300,32.40869465143019,0.9844014889001846,0.0,0.2601049467771159,0,300,,0.0,0.49,0,0,random_stratified,2,0.0,
always_residual,agreement_proxy,baseline,300,32.372741106397314,0.9841548754771551,-0.03595354503287437,0.22415140174424153,300,0,0.51,1.0,0.51,63,51,random_stratified,2,-0.06838066030131681,
two_way_oracle,agreement_proxy,oracle,300,32.93447993742255,0.9849240066607793,0.5257852859923614,0.7858902327694774,153,147,1.0,1.0,1.0,0,0,random_stratified,2,1.0,
decision_stump,agreement_proxy,stump,300,32.407687202001775,0.9842457667986552,-0.0010074494284133984,0.2590974973487025,182,118,0.5384615384615384,0.6405228758169934,0.5366666666666666,39,29,random_stratified,2,-0.0019160852447819062,
ridge_logistic,agreement_proxy,logistic,300,32.4622667854952,0.9843223440647125,0.05357213406501329,0.3136770808421292,143,157,0.6013986013986014,0.5620915032679739,0.5866666666666667,25,19,random_stratified,2,0.10188975517620624,0.5104090891028792
always_lfv1,agreement_proxy,baseline,300,32.45845241610133,0.9838229829072952,0.0,0.24174490459312087,0,300,,0.0,0.49,0,0,random_stratified,3,0.0,
always_residual,agreement_proxy,baseline,300,32.370664318805574,0.9839528248707453,-0.087788097295755,0.15395680729736588,300,0,0.51,1.0,0.51,62,55,random_stratified,3,-0.16130961275575179,
two_way_oracle,agreement_proxy,oracle,300,33.002673530987266,0.9848424629370371,0.5442211148859432,0.7859660194790641,153,147,1.0,1.0,1.0,0,0,random_stratified,3,1.0,
decision_stump,agreement_proxy,stump,300,32.44032913454027,0.9839663795630137,-0.0181232815610608,0.22362162303206007,180,120,0.5166666666666667,0.6078431372549019,0.51,42,31,random_stratified,3,-0.033301320116657075,
ridge_logistic,agreement_proxy,logistic,300,32.468763111520566,0.9840234502156575,0.010310695419236448,0.2520556000123573,186,114,0.543010752688172,0.6601307189542484,0.5433333333333333,39,31,random_stratified,3,0.018945783500879682,0.4955353335470555
always_lfv1,agreement_proxy,baseline,300,32.12805880104787,0.9834058014551799,0.0,0.2590696371306295,0,300,,0.0,0.49,0,0,random_stratified,4,0.0,
always_residual,agreement_proxy,baseline,300,32.090713697414664,0.9837073910236359,-0.03734510363320063,0.2217245334974289,300,0,0.51,1.0,0.51,69,48,random_stratified,4,-0.06360509092536355,
two_way_oracle,agreement_proxy,oracle,300,32.71519896687237,0.9844519972801209,0.5871401658245042,0.8462098029551339,153,147,1.0,1.0,1.0,0,0,random_stratified,4,1.0,
decision_stump,agreement_proxy,stump,300,32.18823006382776,0.9835367178916932,0.06017126277988684,0.31924089991051635,202,98,0.5198019801980198,0.6862745098039216,0.5166666666666667,44,29,random_stratified,4,0.10248193920678215,
